item_name,batch_no,expiry,opening_balance_date,unit,opening_qty
VEGACAL SYP 200ML,ML-307C,Feb.,2027,05-01-2027,TAB.,2
B GOOD XP POWDER 200G,PHFP-967,Dec.,2026,05-01-2027,TAB.,2
GOLDVESTIN PLUS CAP. 1*10,RHSF-7026,Oct.,2026,05-01-2027,TAB.,-8
GOLDVESTIN PLUS CAP. 1*10,RHSF-7547,Feb.,2027,05-01-2027,TAB.,7
GOLDVESTIN PLUS CAP. 1*10,RHSF-8539,Jun.,2027,05-01-2027,TAB.,11
R2BT- FORTE TAB. 1*10,BGF-1316,Dec.,2026,05-01-2027,TAB.,14
RELICLAV-625 LB TAB. 1*6,TB250573D,May.,2027,05-01-2027,TAB.,7
RLS Q-10 TAB. 1*10,NLSG-1454,May.,2027,05-01-2027,TAB.,9
SABSTAT-80 TAB. 1*10,GT18137A,Jan.,2027,05-01-2027,TAB.,9
FINXIME 200 LB TAB. 1*10,TLBTH-300,Aug.,2027,05-01-2027,TAB.,11
FEDCORT6 TAB. 1*10,WEA/07/073,Jun.,2027,05-01-2027,TAB.,3
FEDCORT6 TAB. 1*10,WEA11/015,Dec.,2027,05-01-2027,TAB.,3
FEDCORT6 TAB. 1*10,WEB/01/0381,Dec.,2027,05-01-2027,TAB.,12
ROWPEP PLUS SACHET 1*10,EHAS-718,Nov.,2026,05-01-2027,TAB.,15
GESICARE-SP TAB. 1*10,ST250704,Nov.,2027,05-01-2027,TAB.,15
ROSIJOINT TRIO CAP. 1*10,RHSF-6793,Sep.,2026,05-01-2027,TAB.,-34
ROSIJOINT TRIO CAP. 1*10,RHSF-7110,Oct.,2026,05-01-2027,TAB.,3
ROSIJOINT TRIO CAP. 1*10,RHSF-7494,Dec.,2026,05-01-2027,TAB.,6
ROSIJOINT TRIO CAP. 1*10,RHSF-7498,Dec.,2026,05-01-2027,TAB.,9
ROSIJOINT TRIO CAP. 1*10,RHSF-8330,May.,2027,05-01-2027,TAB.,22
ASTRUM 500 TAB. 1*10,ALC-1993,Oct.,2026,05-01-2027,TAB.,3
ASTRUM 500 TAB. 1*10,ALC-2243,Oct.,2027,05-01-2027,TAB.,4
NERVIGUD-LC 1*10,NLT-1125,Mar.,2027,05-01-2027,TAB.,1
NERVIGUD-LC 1*10,NLT-1474,Aug.,2027,05-01-2027,TAB.,1
NERVIGUD-LC 1*10,NLT-1832,Jan.,2028,05-01-2027,TAB.,10
ESMOGUD DSR TAB. 1*10,XC676F,Sep.,2026,05-01-2027,TAB.,-50
ESMOGUD DSR TAB. 1*10,YC378B,Jun.,2027,05-01-2027,TAB.,64
ROWLIZ-600 TAB. 1*6,IT055001,Dec.,2026,05-01-2027,TAB.,8
NUROMIC G TAB. 1*10,GT27391D,Jul.,2027,05-01-2027,TAB.,15
NUROMIC-NT 1*10,GT28186A,Aug.,2027,05-01-2027,TAB.,10
B-GOOD TAB. 1*10,RHSF-8138,Apr.,2027,05-01-2027,TAB.,8
GESICARE-TH 8 1*10,APGT251442,Sep.,2027,05-01-2027,TAB.,2
GAXIM-CV TAB. 1*10,,,05-01-2027,TAB.,-36
GAXIM-CV TAB. 1*10,CT2522A,Nov.,2026,05-01-2027,TAB.,30
GAXIM-CV TAB. 1*10,CT254331,Apr.,2027,05-01-2027,TAB.,10
AVODEX-300 1*10,BGF-1990,Aug.,2027,05-01-2027,TAB.,4
RUMIC OIL 50ML,,Sep.,2027,05-01-2027,TAB.,-64
RUMIC OIL 50ML,ALH-1523,Jun.,2028,05-01-2027,TAB.,66
RUMIC OIL 50ML,BGF-3433,Nov.,2028,05-01-2027,TAB.,3
THIOMIC 15GM,CQO-106,May.,2027,05-01-2027,TAB.,4
VERTICARE-16 TAB. 1*10,XT2065C,Aug.,2026,05-01-2027,TAB.,7
NUROMIC 1500 INJ. 2ML,1G25D0105A,Sep.,2026,05-01-2027,TAB.,-39
NUROMIC 1500 INJ. 2ML,IG25K002C,Apr.,2027,05-01-2027,TAB.,74
DEFICAM INJ. 4MG 2ML,25LE28B,Apr.,2027,05-01-2027,TAB.,11
GESICARE D3 INJ. 1ML,GA25B-50C,Jan.,2027,05-01-2027,TAB.,12
DYNAPAR AQ INJ. 75MG,ADCL5010C,Oct.,2027,05-01-2027,TAB.,10
DYNAPAR AQ INJ. 75MG,GA25C-18R,Feb.,2027,05-01-2027,TAB.,5
VITAMMIES GUMMIES 1*30,WA-250801,Jan.,2027,05-01-2027,TAB.,4
HCQS-200 TAB. 200MG,GPD083030BH,Aug.,2027,05-01-2027,TAB.,10
SAAZ-DS TAB. 1*10,TSF-D0965,Apr.,2027,05-01-2027,TAB.,13
INDOMEG SR-75 CAP. 1*10,CSF-D0144B,Jun.,2027,05-01-2027,TAB.,10
NEVSOFT 125ML,CY535,May.,2027,05-01-2027,TAB.,6
EKRAN AQUA GEL 50G,EG507,Feb.,2028,05-01-2027,TAB.,10
LUMBAR SCARO BELT XL 1*2,90211000,,05-01-2027,TAB.,1
LUMBAR SCARO BELT L 1,90211000,,05-01-2027,BOX,2
CREPBAND 15*4 1,,,05-01-2027,QTY,-1
FROG SPLING M 1,90211000,,05-01-2027,QTY,1
CERVICAL BRACE L 1,,,05-01-2027,QTY,-1
CAST SHOE S 1,90211000,,05-01-2027,QTY,2
CAST SHOE L 1,90211000,,05-01-2027,QTY,2
CAST SHOE M 1,90211000,,05-01-2027,QTY,2
MELAPIK 1,BG404,Aug.,2026,05-01-2027,QTY,3
METEXAROW - D 1,MPCT-3113,Jul.,2027,05-01-2027,QTY,10
MYOTROZ EYE DROP 1,SH25070740,Jun.,2027,05-01-2027,QTY,8
VIZOKUL EYE DROP 1,25E283B,Jul.,2027,05-01-2027,QTY,3
VIZOKUL EYE DROP 1,25E446E,Oct.,2027,05-01-2027,QTY,7
TROVIC-P EYE DROP 1,AMB-AB-001,Dec.,2026,05-01-2027,QTY,4
OSTEOBLISS MAX 1*10,BGF-291,Sep.,2026,05-01-2027,QTY,2
OSTEOBLISS MAX 1*10,BGF-3881,Jun.,2027,05-01-2027,QTY,9
LOFTYPRED 80 MG 1,SVI-24204J,Sep.,2026,05-01-2027,QTY,4
LOFTYPRED 80 MG 1,SVI-24276A,Nov.,2026,05-01-2027,QTY,-28
LOFTYPRED 80 MG 1,SVI-25224A,Aug.,2027,05-01-2027,QTY,58
WRIST BRACE U,62129090,,05-01-2027,QTY,2
COLABLISS SACHET,BGF-142,Sep.,2027,05-01-2027,QTY,63
COLABLISS SACHET,BGF-1828,Jan.,2027,05-01-2027,QTY,-100
COLABLISS SACHET,BGF-2896,Apr.,2027,05-01-2027,QTY,294
COLABLISS SACHET,BGF-4458,Aug.,2026,05-01-2027,QTY,-230
ETOLARK 120,GT32268A,Feb.,2028,05-01-2027,QTY,8
OSTEOBLISS TOTAL,BGF-1761,Jan.,2027,05-01-2027,QTY,5
MOFDRIB E/D,OPF360,Apr.,2027,05-01-2027,QTY,8
RE-DEC 50 MG 1,25LG16Q,Jun.,2027,05-01-2027,QTY,3
RE-DEC 50 MG 1,A24F,Jun.,2027,05-01-2027,QTY,8
ETOLARK P,TTC26030,Feb.,2028,05-01-2027,QTY,22
ETOLARK P,TTE25067B,Apr.,2027,05-01-2027,QTY,-7
AZELIA HAIR SERUM,BCC4455,Dec.,2026,05-01-2027,QTY,2
AMLOKIND 5,TSF-D0537,Feb.,2027,05-01-2027,QTY,7
SABFER-XT,GT30150Q,Nov.,2027,05-01-2027,QTY,9
ZUVIMAX,FW402,Nov.,2026,05-01-2027,QTY,9
KLMC 1000,NK0126002,Jul.,2027,05-01-2027,QTY,9
OXILUBE DS,,,05-01-2027,QTY,-1
OXILUBE DS,250617,Nov.,2027,05-01-2027,QTY,7
OXILUBE DS,250554,Nov.,2027,05-01-2027,QTY,1
AZIVUE EYE ON,AA07,May.,2027,05-01-2027,QTY,1
AZIVUE EYE ON,AA08,Jan.,2028,05-01-2027,QTY,8
HCS EYE ON,HA12,Nov.,2027,05-01-2027,QTY,8
HCS EYE ON,HA10,Feb.,2027,05-01-2027,QTY,1
TOFAMEG,TSF-D0963,Apr.,2027,05-01-2027,QTY,13
MOFDRIF LP 1,260061,Dec.,2027,05-01-2027,QTY,16
LEFNA 1,TSF-DO570,Feb.,2027,05-01-2027,QTY,5
NEXLUBE ULTRA 1*,OPF325,Mar.,2027,05-01-2027,QTY,1
NEXLUBE DS 1-*,OPE675,Oct.,2026,05-01-2027,QTY,21
ARM SLING M 1,90211000,,05-01-2027,QTY,2
ARM SLING L 1,90211000,,05-01-2027,QTY,1
ARM SLING S 1,90211000,,05-01-2027,QTY,2
ARM SLING S 1,92011000,,05-01-2027,QTY,1
TOBNIC,OPF1102,Nov.,2027,05-01-2027,QTY,8
MEGMAPRED 16,TSF-C3141,Nov.,2026,05-01-2027,QTY,9
MEGMAPRED 8,TSF-D1933A,Aug.,2027,05-01-2027,QTY,14
IMXIA PLUS 1,EP535,Jul.,2028,05-01-2027,QTY,10
NINGEN SERUM 01,ACOS24260,Jul.,2026,05-01-2027,QTY,2
SNEC 30PLUS 1,AHC25022,Oct.,2028,05-01-2027,QTY,7
SNUGABA 5,DEMO-2369,Sep.,2027,05-01-2027,QTY,4
SNUGABA 5,DEMO-8122,Mar.,2027,05-01-2027,QTY,1
PANTANIC-KT 10,OPF108,Jan.,2027,05-01-2027,QTY,4
RETIEYE TAB 12,LFT2509005,Feb.,2027,05-01-2027,QTY,2
TOBNIC-F 10,OPF322,Mar.,2027,05-01-2027,QTY,2
RAMCET-D 12,GIL04ACA,Nov.,2027,05-01-2027,QTY,37
NERVMIC-XT 10,,,05-01-2027,QTY,-12
NERVMIC-XT 10,M345,Dec.,2026,05-01-2027,QTY,28
LOVEGA-M 10,EA/06/017C,May.,2027,05-01-2027,QT,-10
LOVEGA-M 10,WEA/09/113,Aug.,2027,05-01-2027,QT,16
INJ GENTA 14,GN-26778,Aug.,2026,05-01-2027,QTY,8
TRAMADOL 10,AQ146003,Jan.,2029,05-01-2027,QTY,6
INJ PANTOP 17,D1012546A,Feb.,2027,05-01-2027,QTY,17
INJ EMSET 10,A250-22L,Mar.,2027,05-01-2027,QTY,10
ASCORFIT-HD 10,25VD050A,Mar.,2027,05-01-2027,QTY,5
SHOULDER-C02UN 3,90211000,,05-01-2027,QTY,2
FROG SPLINT(S) 1,92011000,,05-01-2027,QTY,1
ARM SLING POUCH=CH 2,90211000,,05-01-2027,QTY,1
KNEE BRACE 2,LWF06U1125P,,05-01-2027,QTY,2
