Medicine Name,Qty,MRP
Vegacal Syp,2,110
B-Good X Powder,2,319
Goldvestin Plus,13,230
RLS Q10,6,550
R2BT Forte,14,410
Osteobliss Max,12,299
Osteobliss Total,3,599
Etolark-P,11,154
Etolark-120,7,139
Reliclave 625,7,146
Sabstat-80,8,155
Fedcort 6,9,150
Collabliss Sachet,34,110
Rojit Joint Trio,5,345
Gesicare-SP,11,117
Astheum-500,6,320
Esmorual-DSR,16,132
Rowliz-600,8,222
Nuromic-NT,9,276
B-Good Tab,6,311
Gesicare-THS,5,328
Goxim-CV,4,750
Avodex-300,4,382
Miomic-Gel,3,188
Rumic Oil,5,189
Tofameg,10,590
Nervigud,12,240
Fini Xime-LB,11,180
Rowpep Plus,15,95
Indomeg SR,10,130
Nuromic-G,13,158
Ramcet-D,31,128
Saaz DS,11,135
Metaxarow,21,235
Lefna-20,5,242
Rowbact,Return,
Ambkind 5mg,6,28
Megmapred-8,5,74
Megmapred-16,6,110
Magmapure,Return,
Nervimic-XT,10,330
Lovega-M,5,140
Osteobliss D3 Shot,Return,
Snugaba,4,196
HCQ-5,10,160
Snec-30,7,1181
Gesicare-D3 Inj,18,62
Neuromic-1500 Inj,26,92
Dynapar Inj,15,20
Deficam Inj,11,18
Loftpred 80mg,33,92
Redec,11,200
Pantop Inj,17,57
Emset Inj,10,11
Tramadol Inj,7,26
T.T Inj,4,13
Laxix Inj,10,6
Genta Inj,9,10
Pantanic-KT,4,190
Retieyetab,2,213
Tobnic-F,2,154
Nevlon Lotion,0,299
Kenzal Plus,0,320
Ekran Aquagel,10,410
Nevsoft,6,285
Mytroz,8,187
Vizokul,10,103
Trovic-P,4,88
Mofdrip-LP,16,182
Moxtaine-ED,7,120
Tobnic,7,90
Akrosite Tab,10,194
Azellia Hair Serum,2,1450
Vitamin Gummies,4,390
Nepacox,10,154
SabferXT-Tab,10,126
Zuvimax,9,920
Aziuve-ON,9,121
HCS-ON,8,84
Nexlube-DS,21,180
Nexlube Ultra,1,308
Kozitin,0,315
Ekran-Soft,0,730
KLMC,9,420
Imixia Plus,10,435
Ningern Serum,2,599
Lacrimist Ointment,0,100
MicroDox-LB,0,95
Oxilube-DS,6,140
